YGL071W	YGL071W
YGL071W	YBR222C
YGL071W	YBR224W
YGL071W	YBR225W
YGL071W	YDR264C
YGL071W	YDR265W
YGL071W	YDR543C
YGL071W	YEL065W
YGL071W	YEL067C
YGL071W	YGL074C
YGL071W	YGL181W
YGL071W	YHL047C
YGL071W	YIL125W
YGL071W	YIL161W
YGL071W	YKL220C
YGL071W	YLL051C
YGL071W	YML081W
YGL071W	YMR017W
YGL071W	YMR019W
YGL071W	YMR182C
YGL071W	YMR251W
YGL071W	YMR280C
YGL071W	YNL114C
YGL071W	YNL117W
YGL071W	YNL337W
YGL071W	YOR382W
YGL181W	YKL220C
YGL181W	YNL167C
YGL209W	YKL109W
YGL209W	YMR280C
YKL015W	YDR264C
YKL015W	YDR265W
YKL015W	YEL065W
YKL015W	YEL067C
YKL015W	YGL071W
YKL015W	YGL074C
YKL015W	YGL181W
YKL015W	YHL047C
YKL015W	YLL051C
YKL015W	YMR017W
YKL015W	YMR019W
YKL015W	YMR251W
YKL015W	YNL114C
YKL015W	YOR382W
YKL109W	YDR543C
YKL109W	YIL125W
YKL109W	YIL161W
YKL109W	YKL015W
YKL109W	YNL337W
YMR019W	YBR222C
YMR019W	YBR224W
YMR019W	YBR225W
YMR019W	YNL117W
YMR182C	YDR543C
YMR182C	YNL337W
YMR280C	YNL117W
YNL167C	YMR017W
